Grievance Title,Brief Summary,Category,Department,Detailed Description,Location / Ward No,Priority Level,Attachment Name,Internal Notes,Date Submitted,Status
"Roads & Infrastructure Issue at Ward 4, Central Zone - 226","Complaint regarding roads & infrastructure in Ward 4, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Street pavement broken near Ward 4, Central Zone.","Ward 4, Central Zone",Urgent,None,Assigned to Urban Development Authority team.,2025-10-08,In Progress
"Sanitation Issue at Garden City, Phase 3 - 198","Complaint regarding sanitation in Garden City, Phase 3.",Sanitation,Health & Family Welfare,"Sewage overflow reported in the back alley of Garden City, Phase 3.","Garden City, Phase 3",Urgent,evidence_934.jpg,Assigned to Health & Family Welfare team.,2025-05-10,Escalated
"Sanitation Issue at Ward 2, Central Zone - 589","Complaint regarding sanitation in Ward 2, Central Zone.",Sanitation,Municipal Corporation,"Sewage overflow reported in the back alley of Ward 2, Central Zone.","Ward 2, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-08-12,Escalated
"Waste Management Issue at Garden City, Phase 3 - 494","Complaint regarding waste management in Garden City, Phase 3.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Garden City, Phase 3.","Garden City, Phase 3",Low,None,Assigned to Municipal Corporation team.,2025-07-06,In Progress
"Roads & Infrastructure Issue at Ward 9, Central Zone - 728","Complaint regarding roads & infrastructure in Ward 9, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Major potholes on the main road of Ward 9, Central Zone.","Ward 9, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-10-12,Resolved
"Waste Management Issue at Ward 10, Central Zone - 303","Complaint regarding waste management in Ward 10, Central Zone.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Ward 10, Central Zone.","Ward 10, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-03-27,Resolved
"Waste Management Issue at Ward 7, Central Zone - 385","Complaint regarding waste management in Ward 7, Central Zone.",Waste Management,Municipal Corporation,"Garbage collection truck hasn't visited Ward 7, Central Zone for a week.","Ward 7, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-10-22,Resolved
"Public Safety Issue at Ward 9, Central Zone - 176","Complaint regarding public safety in Ward 9, Central Zone.",Public Safety,Municipal Corporation,"Illegal parking blocking emergency exits in Ward 9, Central Zone.","Ward 9, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-10-29,New
"Education Issue at Sector 16, Heritage Colony - 311","Complaint regarding education in Sector 16, Heritage Colony.",Education,Education Department,"Shortage of teaching staff for 35 semesters in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Low,evidence_941.jpg,Assigned to Education Department team.,2025-05-24,In Progress
"Waste Management Issue at Sector 10, Heritage Colony - 152","Complaint regarding waste management in Sector 10, Heritage Colony.",Waste Management,Sanitation Department,"Biomedical waste found dumped in the residential area of Sector 10, Heritage Colony.","Sector 10, Heritage Colony",High,evidence_942.jpg,Assigned to Sanitation Department team.,2025-07-06,New
"Roads & Infrastructure Issue at Ward 8, Central Zone - 472","Complaint regarding roads & infrastructure in Ward 8, Central Zone.",Roads & Infrastructure,Public Works Department (PWD),"Road construction halted for 52 months in Ward 8, Central Zone.","Ward 8, Central Zone",Low,None,Assigned to Public Works Department (PWD) team.,2025-12-07,Escalated
"Roads & Infrastructure Issue at Ward 9, Central Zone - 774","Complaint regarding roads & infrastructure in Ward 9, Central Zone.",Roads & Infrastructure,Public Works Department (PWD),"Street pavement broken near Ward 9, Central Zone.","Ward 9, Central Zone",High,None,Assigned to Public Works Department (PWD) team.,2025-10-04,New
"Water Supply Issue at Garden City, Phase 3 - 559","Complaint regarding water supply in Garden City, Phase 3.",Water Supply,Public Works Department (PWD),"Low pressure water being received at Garden City, Phase 3.","Garden City, Phase 3",Low,None,Assigned to Public Works Department (PWD) team.,2025-10-17,New
"Electricity Issue at Garden City, Phase 2 - 707","Complaint regarding electricity in Garden City, Phase 2.",Electricity,Electricity Board,"Frequent power cuts without notice in Garden City, Phase 2.","Garden City, Phase 2",High,None,Assigned to Electricity Board team.,2025-08-18,In Progress
"Water Supply Issue at Garden City, Phase 5 - 132","Complaint regarding water supply in Garden City, Phase 5.",Water Supply,Municipal Corporation,"No water supply for the last 11 days in Garden City, Phase 5.","Garden City, Phase 5",Urgent,evidence_947.jpg,Assigned to Municipal Corporation team.,2025-12-28,Resolved
"Sanitation Issue at Ward 5, Central Zone - 228","Complaint regarding sanitation in Ward 5, Central Zone.",Sanitation,Municipal Corporation,"Public toilets in Ward 5, Central Zone are extremely dirty and unusable.","Ward 5, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-03-09,Escalated
"Drainage Issue at Ward 6, Central Zone - 762","Complaint regarding drainage in Ward 6, Central Zone.",Drainage,Municipal Corporation,"Drain cover missing, posing a risk to children in Ward 6, Central Zone.","Ward 6, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-11-20,In Progress
"Public Safety Issue at Sector 12, Heritage Colony - 445","Complaint regarding public safety in Sector 12, Heritage Colony.",Public Safety,Municipal Corporation,"Lack of police patrolling observed during night in Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-07-17,Resolved
"Waste Management Issue at Ward 6, Central Zone - 470","Complaint regarding waste management in Ward 6, Central Zone.",Waste Management,Sanitation Department,"Biomedical waste found dumped in the residential area of Ward 6, Central Zone.","Ward 6, Central Zone",Medium,evidence_951.jpg,Assigned to Sanitation Department team.,2025-11-04,New
"Drainage Issue at Sector 16, Heritage Colony - 782","Complaint regarding drainage in Sector 16, Heritage Colony.",Drainage,Public Works Department (PWD),"Main drain choked with plastic waste near Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Urgent,evidence_952.jpg,Assigned to Public Works Department (PWD) team.,2026-02-05,New
"Public Safety Issue at Garden City, Phase 5 - 742","Complaint regarding public safety in Garden City, Phase 5.",Public Safety,Municipal Corporation,"Lack of police patrolling observed during night in Garden City, Phase 5.","Garden City, Phase 5",Low,evidence_953.jpg,Assigned to Municipal Corporation team.,2025-07-17,New
"Sanitation Issue at Sector 16, Heritage Colony - 515","Complaint regarding sanitation in Sector 16, Heritage Colony.",Sanitation,Health & Family Welfare,"Drainage blockage causing water logging in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Urgent,None,Assigned to Health & Family Welfare team.,2025-07-09,Escalated
"Education Issue at Garden City, Phase 1 - 746","Complaint regarding education in Garden City, Phase 1.",Education,Education Department,"Lack of pure drinking water facilities in Garden City, Phase 1 primary school.","Garden City, Phase 1",High,evidence_955.jpg,Assigned to Education Department team.,2025-12-31,New
"Healthcare Issue at Garden City, Phase 5 - 697","Complaint regarding healthcare in Garden City, Phase 5.",Healthcare,Health & Family Welfare,"Emergency ambulance delayed by 14 hours for Garden City, Phase 5.","Garden City, Phase 5",Medium,None,Assigned to Health & Family Welfare team.,2025-03-26,New
"Education Issue at Sector 17, Heritage Colony - 635","Complaint regarding education in Sector 17, Heritage Colony.",Education,Urban Development Authority,"Lack of pure drinking water facilities in Sector 17, Heritage Colony primary school.","Sector 17, Heritage Colony",Medium,None,Assigned to Urban Development Authority team.,2026-01-17,New
"Electricity Issue at Ward 3, Central Zone - 154","Complaint regarding electricity in Ward 3, Central Zone.",Electricity,Electricity Board,"Frequent power cuts without notice in Ward 3, Central Zone.","Ward 3, Central Zone",High,None,Assigned to Electricity Board team.,2025-04-06,New
"Roads & Infrastructure Issue at Ward 1, Central Zone - 108","Complaint regarding roads & infrastructure in Ward 1, Central Zone.",Roads & Infrastructure,Public Works Department (PWD),"Illegal speed breaker installed at Ward 1, Central Zone.","Ward 1, Central Zone",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-06-22,Escalated
"Street Lighting Issue at Garden City, Phase 1 - 961","Complaint regarding street lighting in Garden City, Phase 1.",Street Lighting,Electricity Board,"Flickering street light causing disturbance in Garden City, Phase 1.","Garden City, Phase 1",Medium,None,Assigned to Electricity Board team.,2026-02-08,New
"Street Lighting Issue at Sector 14, Heritage Colony - 648","Complaint regarding street lighting in Sector 14, Heritage Colony.",Street Lighting,Electricity Board,"New street light poles installed but not connected in Sector 14, Heritage Colony.","Sector 14, Heritage Colony",Urgent,None,Assigned to Electricity Board team.,2025-08-23,Escalated
"Education Issue at Ward 3, Central Zone - 678","Complaint regarding education in Ward 3, Central Zone.",Education,Education Department,"Lack of pure drinking water facilities in Ward 3, Central Zone primary school.","Ward 3, Central Zone",Medium,None,Assigned to Education Department team.,2026-01-11,Resolved
"Healthcare Issue at Ward 7, Central Zone - 275","Complaint regarding healthcare in Ward 7, Central Zone.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Ward 7, Central Zone PHC.","Ward 7, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-05-24,New
"Waste Management Issue at Ward 4, Central Zone - 297","Complaint regarding waste management in Ward 4, Central Zone.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Ward 4, Central Zone.","Ward 4, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-04-24,In Progress
"Public Safety Issue at Ward 7, Central Zone - 365","Complaint regarding public safety in Ward 7, Central Zone.",Public Safety,Police Department,"Illegal parking blocking emergency exits in Ward 7, Central Zone.","Ward 7, Central Zone",Medium,None,Assigned to Police Department team.,2025-06-27,In Progress
"Education Issue at Sector 14, Heritage Colony - 259","Complaint regarding education in Sector 14, Heritage Colony.",Education,Urban Development Authority,"Shortage of teaching staff for 10 semesters in Sector 14, Heritage Colony.","Sector 14, Heritage Colony",High,None,Assigned to Urban Development Authority team.,2025-10-28,Resolved
"Roads & Infrastructure Issue at Garden City, Phase 4 - 447","Complaint regarding roads & infrastructure in Garden City, Phase 4.",Roads & Infrastructure,Urban Development Authority,"Illegal speed breaker installed at Garden City, Phase 4.","Garden City, Phase 4",Urgent,None,Assigned to Urban Development Authority team.,2025-10-11,Escalated
"Roads & Infrastructure Issue at Sector 16, Heritage Colony - 429","Complaint regarding roads & infrastructure in Sector 16, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Illegal speed breaker installed at Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Medium,evidence_968.jpg,Assigned to Urban Development Authority team.,2026-02-23,Resolved
"Water Supply Issue at Ward 7, Central Zone - 452","Complaint regarding water supply in Ward 7, Central Zone.",Water Supply,Municipal Corporation,"No water supply for the last 15 days in Ward 7, Central Zone.","Ward 7, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-08-16,Escalated
"Waste Management Issue at Sector 12, Heritage Colony - 701","Complaint regarding waste management in Sector 12, Heritage Colony.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Sector 12, Heritage Colony.","Sector 12, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2025-09-14,Resolved
"Drainage Issue at Ward 7, Central Zone - 929","Complaint regarding drainage in Ward 7, Central Zone.",Drainage,Public Works Department (PWD),"Drain cover missing, posing a risk to children in Ward 7, Central Zone.","Ward 7, Central Zone",Medium,evidence_971.jpg,Assigned to Public Works Department (PWD) team.,2026-02-28,Resolved
"Roads & Infrastructure Issue at Garden City, Phase 4 - 195","Complaint regarding roads & infrastructure in Garden City, Phase 4.",Roads & Infrastructure,Public Works Department (PWD),"Street pavement broken near Garden City, Phase 4.","Garden City, Phase 4",High,None,Assigned to Public Works Department (PWD) team.,2025-09-01,In Progress
